32,59638,388.52,HP:275|SPD:414|INT:0.27|Prc:6|Splt:4
12,31321,469.71,HP:100|SPD:200|INT:0.50|Prc:3|Splt:2
27,13118,232.58,HP:250|SPD:345|INT:0.41|Prc:9|Splt:3
25,7760,180.32,HP:240|SPD:288|INT:0.41|Prc:3|Splt:3
23,5411,175.06,HP:250|SPD:288|INT:0.41|Prc:9|Splt:4
9,3924,152.53,HP:100|SPD:240|INT:0.36|Prc:3|Splt:2
20,2341,123.53,HP:205|SPD:414|INT:0.41|Prc:2|Splt:2
8,1670,122.39,HP:100|SPD:240|INT:0.50|Prc:1|Splt:1
6,522,89.49,HP:110|SPD:200|INT:0.41|Prc:3|Splt:1
6,464,86.44,HP:125|SPD:240|INT:0.45|Prc:2|Splt:2
6,371,126.33,HP:125|SPD:288|INT:0.45|Prc:2|Splt:0
5,267,85.88,HP:140|SPD:200|INT:0.45|Prc:2|Splt:0
5,256,67.79,HP:100|SPD:200|INT:0.50|Prc:1|Splt:0
5,198,60.74,HP:110|SPD:240|INT:0.45|Prc:2|Splt:0
1,12,12.55,HP:100|SPD:200|INT:0.50|Prc:1|Splt:0
